institution_name,normalized_institution_name,registration_number,regulator,accreditation_status,ownership_type,institution_type,region,district_or_council,physical_location,mainland_or_zanzibar,website,phone_numbers,email,application_method,official_source_url,source_type,confidence_level,last_verified_date,notes
UNUNIO COLLEGE OF HEALTH AND ALLIED SCIENCES - DAR-ES-SALAAM,ununio college of health and allied sciences dar es salaam,REG/HAS/239,NACTVET,,private,health college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Unique Academy Dar es Salaam,unique academy dar es salaam,,TCU,,private,mixed,Dar es Salaam,,Dar es Salaam,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as non-university approved to admit students in 2025/2026.
United African University of Tanzania (UAUT),united african university of tanzania,,TCU,,private,university,Dar es Salaam,,Dar es Salaam,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as university approved to admit students in 2025/2026.
University of Dar es Salaam (UDSM),university of dar es salaam,,TCU,,public,university,Dar es Salaam,,Dar es Salaam,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as university approved to admit students in 2025/2026.
VETA-KIPAWA INFORMATION AND COMMUNICATION AND TECHNOLOGY (ICT) CENTRE - DAR ES SALAAM,veta kipawa information and communication and technology centre dar es salaam,REG/SAT/009,NACTVET,,public,ICT college,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
VIGNAN INSTITUTE OF SCIENCE AND TECHNOLOGY,vignan institute of science and technology,REG/HAS/207,NACTVET,,private,health college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
WAPO MEDIA INSTITUTE,wapo media institute,REG/BTP/151P,NACTVET,,private,business college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
WATER INSTITUTE,water institute,REG/EOS/007,NACTVET ; TCU,,public,technical college,Dar es Salaam,Ubungo Municipal Council,Ubungo Municipal Council - Dar es Salaam,Mainland,,,,CAS ; TCU,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf ; https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026. ; Listed by TCU as non-university approved to admit students in 2025/2026. || Alternate official spellings/names seen: Water Institute (WI) || Ownership labels differed across sources.
ZANGO COLLEGE OF HEALTH AND ALLIED SCIENCES,zango college of health and allied sciences,REG/HAS/233,NACTVET,,private,health college,Dar es Salaam,Temeke Municipal Council,Temeke Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
BENJAMIN MKAPA INSTITUTE OF HEALTH AND ALLIED SCIENCES,benjamin mkapa institute of health and allied sciences,REG/HAS/241,NACTVET,,public,health college,Dodoma,Dodoma Municipal Council,Dodoma Municipal Council - Dodoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Bahi DVTC,bahi dvtc,,VETA,,public,vocational centre,Dodoma,Bahi,S.L.P 590 BAHI-DODOMA,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na Kutwa
"CITY COLLEGE OF HEALTH AND ALLIED SCIENCES, DODOMA CAMPUS",city college of health and allied sciences dodoma campus,REG/HAS/195,NACTVET,,private,health college,Dodoma,Dodoma Municipal Council,Dodoma Municipal Council - Dodoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
COLLEGE OF BUSINESS EDUCATION - DODOMA,college of business education dodoma,REG/BMG/006,NACTVET ; TCU,,public,business college,Dodoma,Dodoma Municipal Council,Dodoma Municipal Council - Dodoma,Mainland,,,,CAS ; TCU,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf ; https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026. ; Listed by TCU as non-university approved to admit students in 2025/2026. || Alternate official spellings/names seen: College of Business Education (CBE) Dodoma || Ownership labels differed across sources.
Chemba DVTC,chemba dvtc,,VETA,,public,vocational centre,Dodoma,Chemba,S.L.P 53 CHEMBA DODOMA,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
DECCA COLLEGE OF HEALTH AND ALLIED SCIENCES - DODOMA,decca college of health and allied sciences dodoma,REG/HAS/142,NACTVET,,private,health college,Dodoma,Dodoma Municipal Council,Dodoma Municipal Council - Dodoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
"DECCA COLLEGE OF HEALTH AND ALLIED SCIENCES - NALA CAMPUS, DODOMA",decca college of health and allied sciences nala campus dodoma,REG/HAS/183,NACTVET,,private,health college,Dodoma,Dodoma Municipal Council,Dodoma Municipal Council - Dodoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
DODOMA INSTITUTE OF DEVELOPMENT AND ENTREPRENEURSHIP DODOMA,dodoma institute of development and entrepreneurship dodoma,REG/BTP/085,NACTVET,,private,business college,Dodoma,Dodoma Municipal Council,Dodoma Municipal Council - Dodoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
DODOMA INSTITUTE OF HEALTH AND ALLIED SCIENCES,dodoma institute of health and allied sciences,REG/HAS/002,NACTVET,,public,health college,Dodoma,Dodoma Municipal Council,Dodoma Municipal Council - Dodoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
DODOMA MEDIA COLLEGE,dodoma media college,REG/BTP/088P,NACTVET,,private,business college,Dodoma,Dodoma Municipal Council,Dodoma Municipal Council - Dodoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
DON BOSCO TECHNICAL TRAINING COLLEGE - DODOMA,don bosco technical training college dodoma,REG/BTP/134,NACTVET,,private,business college,Dodoma,Dodoma Municipal Council,Dodoma Municipal Council - Dodoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Dodoma RVTSC,dodoma rvtsc,,VETA,,public,vocational centre,Dodoma,,S.L.P 2197 DODOMA,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Ill; Boarding/day: Bweni na Kutwa
INSTITUTE OF FINANCE MANAGEMENT - DODOMA CAMPUS,institute of finance management dodoma campus,REG/BTP/118,NACTVET,,public,business college,Dodoma,Dodoma Municipal Council,Dodoma Municipal Council - Dodoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
INSTITUTE OF RURAL DEVELOPMENT PLANNING - DODOMA,institute of rural development planning dodoma,REG/PWF/001,NACTVET,,public,mixed,Dodoma,Dodoma Municipal Council,Dodoma Municipal Council - Dodoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Institute of Finance Management (IFM)- Dodoma,institute of finance management dodoma,,TCU,,public,business college,Dodoma,,Dodoma,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as non-university approved to admit students in 2025/2026.
Institute of Rural Development Planning (IRDP),institute of rural development planning,,TCU,,public,mixed,Dodoma,,Dodoma,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as non-university approved to admit students in 2025/2026.
JANESA INSTITUTE OF HEALTH AND ALLIED SCIENCES - DODOMA,janesa institute of health and allied sciences dodoma,REG/HAS/201,NACTVET,,private,health college,Dodoma,,,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
KONDOA SCHOOL OF NURSING,kondoa school of nursing,REG/HAS/040,NACTVET,,public,health college,Dodoma,Kondoa District Council,Kondoa District Council - Dodoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Kongwa DVTC,kongwa dvtc,,VETA,,public,vocational centre,Dodoma,Kongwa,S.L.P 51 KONGWA-DODOMA,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
LOCAL GOVERNMENT TRAINING INSTITUTE - DODOMA TOWN CENTRE,local government training institute dodoma town centre,REG/BTP/206,NACTVET,,public,business college,Dodoma,Dodoma Municipal Council,Dodoma Municipal Council - Dodoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
LOCAL GOVERNMENT TRAINING INSTITUTE HOMBOLO - DODOMA,local government training institute hombolo dodoma,REG/BMG/020,NACTVET,,public,business college,Dodoma,Dodoma Municipal Council,Dodoma Municipal Council - Dodoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Local Government Training Institute (LGTI),local government training institute,,TCU,,public,mixed,Dodoma,,Dodoma,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as non-university approved to admit students in 2025/2026.
Mpwapwa Teachers College,mpwapwa teachers college,,Ministry,,public,teacher college,Dodoma,Mpwapwa District,"P.O. Box 34, Mpwapwa",Mainland,www.mpwapwatc.ac.tz,026 2320735,mpwapwatc@gmail.com,CAS,https://www.moe.go.tz/sites/default/files/MPWAPWA%20JOINING%20INSTRUCTION%20%202025.pdf,regulator,high,2026-04-24,Contacts from ministry joining instructions 2025. || Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
St. John’s University of Tanzania (SJUT),st john s university of tanzania,,TCU,,private,university,Dodoma,,Dodoma,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as university approved to admit students in 2025/2026.
University of Dodoma (UDOM),university of dodoma,,TCU,,public,university,Dodoma,,Dodoma,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as university approved to admit students in 2025/2026.
VISELE LIVE-CROP SKILLS TRAINING CENTRE,visele live crop skills training centre,REG/ANE/028,NACTVET,,private,agriculture college,Dodoma,Mpwapwa District Council,Mpwapwa District Council - Dodoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
CHATO COLLEGE OF HEALTH SCIENCES AND TECHNOLOGY,chato college of health sciences and technology,REG/HAS/158,NACTVET,,private,health college,Geita,Chato District Council,Chato District Council - Geita,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Chato DVTC,chato dvtc,,VETA,,public,vocational centre,Geita,Chato,S.L.P 168 CHATO GEITA,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
GEITA INSTITUTE OF BUSINESS AND TECHNOLOGY,geita institute of business and technology,REG/BTP/098P,NACTVET,,private,business college,Geita,Geita District Council,Geita District Council - Geita,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
GEITA SCHOOL OF NURSING,geita school of nursing,REG/HAS/079,NACTVET,,public,health college,Geita,Geita District Council,Geita District Council - Geita,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Geita RVTSC,geita rvtsc,,VETA,,public,vocational centre,Geita,,"S.L.P 455, GEITA",Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na Kutwa
LANDMARK INSTITUTE OF EDUCATION SCIENCE AND TECHNOLOGY,landmark institute of education science and technology,REG/BTP/083,NACTVET,,private,business college,Geita,Geita District Council,Geita District Council - Geita,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
BECUS HEALTH TRAINING CENTRE,becus health training centre,REG/HAS/203,NACTVET,,private,health college,Iringa,Mafinga Town Counci,Mafinga Town Counci - Iringa,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
"DABAGA INSTITUTE OF AGRICULTURE - KILOLO, IRINGA",dabaga institute of agriculture kilolo iringa,REG/SAT/018,NACTVET,,private,agriculture college,Iringa,Kilolo District Council,Kilolo District Council - Iringa,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
HALLMARK SOUTHERN COLLEGE FOR MEDIA AND TECHNOLOGY,hallmark southern college for media and technology,REG/BTP/146P,NACTVET,,private,business college,Iringa,Mafinga Town Counci,Mafinga Town Counci - Iringa,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
ISIMILA NURSING SCHOOL,isimila nursing school,REG/HAS/131,NACTVET,,private,health college,Iringa,Iringa Municipal Council,Iringa Municipal Council - Iringa,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
