institution_name,registration_number,registration_number_as_shown,accreditation_status,ownership_type,institution_category,region,district/council,physical_location,website,phone_numbers,email,application_method,has_form_four_direct_programme,official_source_url,source_type,secondary_source_url,secondary_source_type,tcu_matched_name,confidence_level,last_verified_date,notes
KARATU HEALTH TRAINING INSTITUTE,REG/HAS/113,(REG/HAS/113),unknown,religious,health,Arusha,Karatu District Council,Karatu District Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KARUCO COLLEGE,REG/SAT/037,(REG/SAT/037),unknown,religious,mixed,Kagera,Karagwe District Council,Karagwe District Council - Kagera,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KARUME INSTITUTE OF SCIENCE AND TECHNOLOGY- ZANZIBAR,REG/EOS/005,(REG/EOS/005),unknown,public,mixed,Zanzibar Urban/West,Magharibi District,Magharibi District - Zanzibar Urban/West,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
"KASULU COLLEGE OF HEALTH, ALLIED SCIENCES AND TECHNOLOGY",REG/HAS/252,(REG/HAS/252),unknown,private,health,Kigoma,Kasulu District Council,Kasulu District Council - Kigoma,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KATAVI INSTITUTE OF SCIENCE AND DEVELOPMENT STUDIES,REG/BTP/094,(REG/BTP/094),unknown,private,mixed,Katavi,Mpanda Town Council,Mpanda Town Council - Katavi,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KIBAHA BEREA ADVENTIST INSTITUTE,REG/BTP/138P,(REG/BTP/138P),unknown,religious,business,Pwani,Kibaha District Counci,Kibaha District Counci - Pwani,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KIBAHA COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/026,(REG/HAS/026),unknown,public,health,Pwani,Kibaha District Counci,Kibaha District Counci - Pwani,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KIBAHA INSTITUTE OF BUSINESS,REG/BTP/130P,(REG/BTP/130P),unknown,private,business,Pwani,Kibaha District Counci,Kibaha District Counci - Pwani,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KIBONDO CLINICAL OFFICERS TRAINING CENTRE,REG/HAS/228,(REG/HAS/228),unknown,public,health,Kigoma,Kibondo District Council,Kibondo District Council - Kigoma,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KIBONDO SCHOOL OF NURSING,REG/HAS/159,(REG/HAS/159),unknown,public,health,Kigoma,Kibondo District Council,Kibondo District Council - Kigoma,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KIBOSHO INSTITUTE OF HEALTH AND ALLIED SCIENCES,REG/HAS/029N,(REG/HAS/029N),unknown,religious,health,Kilimanjaro,Moshi District Council,Moshi District Council - Kilimanjaro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KIGAMBONI CITY COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/168,(REG/HAS/168),unknown,private,health,Dar es Salaam,Kigamboni Municipal Council,Kigamboni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KIGOMA TRAINING COLLEGE,REG/PWF/016,(REG/PWF/016),unknown,religious,mixed,Kigoma,Kigoma-Ujiji Municipal Council,Kigoma-Ujiji Municipal Council - Kigoma,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KILACHA AGRICULTURE AND LIVESTOCK TRAINING INSTITUTE,REG/ANE/017,(REG/ANE/017),unknown,private,mixed,Kilimanjaro,Moshi District Council,Moshi District Council - Kilimanjaro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KILEMA COLLEGE OF HEALTH SCIENCES,REG/HAS/129,(REG/HAS/129),unknown,religious,health,Kilimanjaro,Moshi District Council,Moshi District Council - Kilimanjaro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KILENZI MEMORIAL COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/229,(REG/HAS/229),unknown,private,health,Dar es Salaam,Ubungo Municipal Council,Ubungo Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KILIMANJARO AGRICULTURAL TRAINING CENTRE - MOSHI,REG/SAT/001,(REG/SAT/001),unknown,public,agriculture,Kilimanjaro,Moshi District Council,Moshi District Council - Kilimanjaro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KILIMANJARO CHRISTIAN MEDICAL UNIVERSITY COLLEGE,KCMU; KC,(KCMU) (KC),Accredited,religious,health,Kilimanjaro,Moshi Municipal Council,Moshi Municipal Council - Kilimanjaro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,KCMC University,high,2026-04-24,Listed in NACTVET Guidebook for Universities 2025/2026. Accreditation status matched to TCU institution list via 'KCMC University'. Guidebook header uses code/acronym notation rather than a single standard regulator code; preserved as shown in registration_number_as_shown.
KILIMANJARO COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/070-J,(REG/HAS/070-J),unknown,public,health,Kilimanjaro,Moshi Municipal Council,Moshi Municipal Council - Kilimanjaro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KILIMANJARO INSTITUTE,REG/HAS/202P,(REG/HAS/202P),unknown,private,health,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KILIMANJARO INSTITUTE OF HEALTH AND ALLIED SCIENCES - DAR ES SALAAM,REG/HAS/236,(REG/HAS/236),unknown,private,health,Dar es Salaam,Ubungo Municipal Council,Ubungo Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KILIMANJARO INSTITUTE OF HEALTH SCIENCES,REG/HAS/247,(REG/HAS/247),unknown,private,health,Arusha,Arusha City Council,Arusha City Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KILIMANJARO INSTITUTE OF TECHNOLOGY AND MANAGEMENT,REG/ANE/029,(REG/ANE/029),unknown,private,business,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KILIMANJARO INTERNATIONAL INSTITUTE FOR TELECOMMUNICATIONS ELECTRONICS AND COMPUTERS,REG/EOS/027,(REG/EOS/027),unknown,private,technical,Arusha,Arusha District Council,Arusha District Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KILIMANJARO LOITARE COLLEGE,REG/BTP/164P,(REG/BTP/164P),unknown,private,mixed,Kilimanjaro,Moshi District Council,Moshi District Council - Kilimanjaro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KILIMANJARO SCHOOL OF PHARMACY,REG/HAS/074,(REG/HAS/074),unknown,religious,health,Kilimanjaro,Moshi District Council,Moshi District Council - Kilimanjaro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KILIMATINDE INSTITUTE OF HEALTH AND ALLIED SCIENCES,REG/HAS/024,(REG/HAS/024),unknown,religious,health,Singida,Manyoni District Council,Manyoni District Council - Singida,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KILOMBERO AGRICULTURAL TRAINING AND RESEARCH INSTITUTE,REG/SAT/026P,(REG/SAT/026P),unknown,public,agriculture,Morogoro,Kilombero District Council,Kilombero District Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KILOSA CLINICAL OFFICERS TRAINING CENTRE,REG/HAS/007,(REG/HAS/007),unknown,public,health,Morogoro,Kilosa District Council,Kilosa District Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KING RUMANYIKA TRAINING INSTITUTE,REG/BTP/149P,(REG/BTP/149P),unknown,private,mixed,Kagera,Bukoba Municipal Council,Bukoba Municipal Council - Kagera,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KINGDOM COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/NACTVET/0719P,(REG/NACTVET/0719P),unknown,private,health,Mbeya,Kyela District Council,Kyela District Council - Mbeya,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
