programme_name,normalized_programme_name,award_level,field_category,institution_name,institution_registration_number,minimum_entry_requirements,required_subjects,duration,fees_if_available,mode,campus_location,admission_capacity,entry_route_types,accepts_form_four_direct,accreditation_status_if_available,application_link,official_source_url,source_type,secondary_source_url,secondary_source_type,confidence_level,last_verified_date,notes
Ordinary Diploma in Exploration and Mining Geology,ordinary diploma in exploration and mining geology,ordinary diploma,engineering,EARTH SCIENCE INSTITUTE OF SHINYANGA (ESIS),REG/SAT/058,"CSEE with 4+ non-religious passes including Two Passes in one of the following subjects Physics/Engineering Science, Basic Mathematics, Biology, Chemistry and Geography or holders of NVA level III in engineering subjects | NTA Level 4/BTC in Exploration and Mining Geology",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; Geography,3 years or 2 years,"Local Fee: TSH. 2,443,400/=",unknown,Shinyanga District Council - Shinyanga,150,CSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Petroleum Geology,ordinary diploma in petroleum geology,ordinary diploma,engineering,EARTH SCIENCE INSTITUTE OF SHINYANGA (ESIS),REG/SAT/058,"CSEE with 4+ non-religious passes including Two Passes in one of the following subjects Physics/Engineering Science, Basic Mathematics, Biology, Chemistry and Geography or holders of NVA level III in engineering subjects | NTA Level 4/BTC in Petroleum and geology",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; Geography,3 years or 2 years,"Local Fee: TSH. 2,443,400/=",unknown,Shinyanga District Council - Shinyanga,150,CSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Business Administration,ordinary diploma in business administration,ordinary diploma,business,EAST AFRICA COLLEGE OF BUSINESS,REG/SAT/61,"CSEE with 4+ non-religious passes | NTA Level 4/BTC in Business Administration, Finance and Banking, Marketing or ACSEE with 1 principal + 1 subsidiary.u",,3 years or 2 years,"Local Fee: TSH. 650,000/=",unknown,Temeke Municipal Council - Dar es Salaam,100,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Computing and Information Technology,ordinary diploma in computing and information technology,ordinary diploma,ICT,EAST AFRICA COLLEGE OF BUSINESS,REG/SAT/61,CSEE with 4+ non-religious passes including Passes in Basic Mathematics and English Language | NTA Level 4/BTC in Information Communication Technology or ACSEE with 1 principal + 1 subsidiary,Basic Mathematics; English Language; English,3 years or 2 years,"Local Fee: TSH. 650,000/=",unknown,Temeke Municipal Council - Dar es Salaam,100,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,ordinary diploma,health,EAST EVANS COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/NACTVET/0717,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,900,000/=",unknown,Kigamboni Municipal Council - Dar es Salaam,150,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Community Development,ordinary diploma in community development,ordinary diploma,social work,EAST EVANS COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/NACTVET/0717,"CSEE with 4+ non-religious passes | Basic Technician Certificate (NTA Level 4 ) in Community Development, Social Work, Gender, Youth Work or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 800,000/=",unknown,Kigamboni Municipal Council - Dar es Salaam,200,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Health Records and Information Technology,ordinary diploma in health records and information technology,ordinary diploma,health,EAST EVANS COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/NACTVET/0717,"CSEE with 4+ non-religious passes including Chemistry, Biology, Basic Mathematics and English Language",Biology; Chemistry; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,900,000/=",unknown,Kigamboni Municipal Council - Dar es Salaam,200,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Pharmaceutical Sciences,ordinary diploma in pharmaceutical sciences,ordinary diploma,health,EAST EVANS COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/NACTVET/0717,CSEE with 4+ non-religious passes including Chemistry and Biology. A Pass in Basic Mathematics and English Language Is An Added Advantage,Biology; Chemistry; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,900,000/=",unknown,Kigamboni Municipal Council - Dar es Salaam,200,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Information Technology,ordinary diploma in information technology,ordinary diploma,ICT,EASTERN AFRICA STATISTICAL TRAINING CENTRE - DAR-ES-SALAAM,REG/PWF/009,"CSEE with 4+ non-religious passes or NVA Level III with a CSEE | NTA Level 4/BTC in Information Technology , Business Information Technology, Information Technology with Accounting, Information Technology, Computer Science, ICT and Statistics or An Advanced Level Certificate Secondary Education (ACSEE) with any E (Principal) and S (Subsidiary) in non-religious subjects",Accounting,3 years or 2 years,"Local Fee: TSH. 950,000/=",unknown,Kinondoni Municipal Council - Dar es Salaam,100,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Statistics,ordinary diploma in statistics,ordinary diploma,other,EASTERN AFRICA STATISTICAL TRAINING CENTRE - DAR-ES-SALAAM,REG/PWF/009,CSEE with 4+ non-religious passes including English Language and Basic Mathematics | NTA Level 4/BTC in Statistics or ACSEE with 1 principal + 1 subsidiary,Basic Mathematics; English Language; English,3 years or 2 years,"Local Fee: TSH. 850,000/=; Foreigner Fee: USD 850/=",unknown,Kinondoni Municipal Council - Dar es Salaam,100,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Human Resources Management,ordinary diploma in human resources management,ordinary diploma,business,EASTERN AND SOUTHERN AFRICAN MANAGEMENT INSTITUTE,REG/BMG/019,Technician Certificate ( NTA Level 5 ) in Human Resource Management,,1 year,"Local Fee: TSH. 4,140,000/=",unknown,Arusha City Council - Arusha,50,NTA Level 5,no,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Management and Administration,ordinary diploma in management and administration,ordinary diploma,business,EASTERN AND SOUTHERN AFRICAN MANAGEMENT INSTITUTE,REG/BMG/019,"NTA Level 4/BTC in Business Administration, Leadership and Management or ACSEE with 1 principal + 1 subsidiary",,2 years,"Local Fee: TSH. 8,000,000/=; Foreigner Fee: USD 4,000/=",unknown,Arusha City Council - Arusha,100,ACSEE; NTA Level 4,no,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Social Protection,ordinary diploma in social protection,ordinary diploma,social work,ECASSA INSTITUTE OF SOCIAL PROTECTION,REG/BTP/201,"CSEE with 4+ non-religious passes | NTA Level 4/BTC in Social Protection, Law, Insurance and Risk Management or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 1,200,000/=; Foreigner Fee: USD 1,500/=",unknown,Arusha City Council - Arusha,100,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,ordinary diploma,health,EDGAR MARANTA IFAKARA COLLEGE,REG/HAS/050N,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,600,000/=",unknown,Kilombero District Council - Morogoro,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Community Development,ordinary diploma in community development,ordinary diploma,social work,EDGAR MARANTA IFAKARA COLLEGE,REG/HAS/050N,"CSEE with 4+ non-religious passes or National Vocation Award (NVA) Level III with a CSEE | NTA Level 4/BTC in Community Development, Social Work, Gender, Youth Work or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 1,000,000/=",unknown,Kilombero District Council - Morogoro,200,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Nursing and Midwifery,ordinary diploma in nursing and midwifery,ordinary diploma,health,EDGAR MARANTA IFAKARA COLLEGE,REG/HAS/050N,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,700,000/=",unknown,Kilombero District Council - Morogoro,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,ordinary diploma,health,ELABS INSTITUTE OF HEALTH AND ALLIED SCIENCES,REG/HAS/265P,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A Pass in Basic Mathematics and English Language Is An Added Advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,600,000/=",unknown,Sengerema District Council - Mwanza,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Pharmaceutical Sciences,ordinary diploma in pharmaceutical sciences,ordinary diploma,health,ELABS INSTITUTE OF HEALTH AND ALLIED SCIENCES,REG/HAS/265P,CSEE with 4+ non-religious passes including Chemistry and Biology. A Pass in Basic Mathematics and English Language Is An Added Advantage,Biology; Chemistry; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,600,000/=",unknown,Sengerema District Council - Mwanza,200,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,ordinary diploma,health,ELIJERRY COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/173,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,450,000/=",unknown,Muheza District Council - Tanga,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Clinical Nutrition,ordinary diploma in clinical nutrition,ordinary diploma,health,ELIJERRY COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/173,CSEE with 4+ non-religious passes including Chemistry and Biology. A Pass in Basic Mathematics and English Language is an added advantage,Biology; Chemistry; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,450,000/=",unknown,Muheza District Council - Tanga,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Nursing and Midwifery,ordinary diploma in nursing and midwifery,ordinary diploma,health,ELIJERRY COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/173,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 870,000/=",unknown,Muheza District Council - Tanga,150,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Pharmaceutical Sciences,ordinary diploma in pharmaceutical sciences,ordinary diploma,health,ELIJERRY COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/173,CSEE with 4+ non-religious passes including Chemistry and Biology. A Pass in Basic Mathematics and English Language Is An Added Advantage,Biology; Chemistry; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,450,000/=",unknown,Muheza District Council - Tanga,250,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Social Work,ordinary diploma in social work,ordinary diploma,social work,ELIJERRY COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/173,"CSEE with 4+ non-religious passes | NTA Level 4/BTC in Social Work, Gender and Community Development or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 870,000/=",unknown,Muheza District Council - Tanga,150,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,ordinary diploma,health,EXCELLENT COLLEGE OF HEALTH AND ALLIED SCIENCES - ARUSHA CAMPUS,REG/HAS/271,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A Pass in Basic Mathematics and English Language Is An Added Advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,600,000/=",unknown,Arumeru District Council - Arusha,200,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Pharmaceutical Sciences,ordinary diploma in pharmaceutical sciences,ordinary diploma,health,EXCELLENT COLLEGE OF HEALTH AND ALLIED SCIENCES - ARUSHA CAMPUS,REG/HAS/271,CSEE with 4+ non-religious passes including Chemistry and Biology. A Pass in Basic Mathematics and English Language Is An Added Advantage,Biology; Chemistry; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,600,000/=",unknown,Arumeru District Council - Arusha,250,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Clinical Dentistry,ordinary diploma in clinical dentistry,ordinary diploma,health,EXCELLENT COLLEGE OF HEALTH AND ALLIED SCIENCES - DAR ES SALAAM,REG/BTP/026,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences",Biology; Chemistry; Physics/Engineering Sciences,3 years,"Local Fee: TSH. 1,800,000/=",unknown,Kinondoni Municipal Council - Dar es Salaam,50,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,ordinary diploma,health,EXCELLENT COLLEGE OF HEALTH AND ALLIED SCIENCES - DAR ES SALAAM,REG/BTP/026,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,800,000/=",unknown,Kinondoni Municipal Council - Dar es Salaam,200,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Health Records and Information technology,ordinary diploma in health records and information technology,ordinary diploma,health,EXCELLENT COLLEGE OF HEALTH AND ALLIED SCIENCES - DAR ES SALAAM,REG/BTP/026,"CSEE with 4+ non-religious passes including Chemistry, Biology, Basic Mathematics and English Language",Biology; Chemistry; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,600,000/=",unknown,Kinondoni Municipal Council - Dar es Salaam,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
